Title,Formatted Date,URL,pic_id
03-29-2022 Tuesday - No Webinar,[[20220329]],https://www.brookspriceaction.com/viewtopic.php?t=5925,
03-30-2022 Wednesday - No Webinar,[[20220330]],https://www.brookspriceaction.com/viewtopic.php?t=5924,
03-31-2022 Thursday - No Webinar,[[20220331]],https://www.brookspriceaction.com/viewtopic.php?t=5923,
04-01-2022 Friday - No Webinar,[[20220401]],https://www.brookspriceaction.com/viewtopic.php?t=5922,
04-04-2022 Monday - No Webinar,[[20220404]],https://www.brookspriceaction.com/viewtopic.php?t=5931,
04-05-2022 Tuesday - No Webinar,[[20220405]],https://www.brookspriceaction.com/viewtopic.php?t=5930,
04-06-2022 Wednesday - No Webinar,[[20220406]],https://www.brookspriceaction.com/viewtopic.php?t=5929,
04-07-2022 Thursday - No Webinar,[[20220407]],https://www.brookspriceaction.com/viewtopic.php?t=5928,
04-08-2022 Friday - No Webinar,[[20220408]],https://www.brookspriceaction.com/viewtopic.php?t=5927,
04-11-2022 Monday,[[20220411]],https://www.brookspriceaction.com/viewtopic.php?t=5939,7113.0
04-12-2022 Tuesday - No Webinar,[[20220412]],https://www.brookspriceaction.com/viewtopic.php?t=5938,
04-13-2022 Wednesday,[[20220413]],https://www.brookspriceaction.com/viewtopic.php?t=5937,7114.0
04-14-2022 Thursday - No Webinar,[[20220414]],https://www.brookspriceaction.com/viewtopic.php?t=5936,
04-15-2022 Friday - No Webinar,[[20220415]],https://www.brookspriceaction.com/viewtopic.php?t=5935,
04-18-2022 Monday,[[20220418]],https://www.brookspriceaction.com/viewtopic.php?t=5944,7115.0
04-19-2022 Tuesday - No Webinar,[[20220419]],https://www.brookspriceaction.com/viewtopic.php?t=5943,
04-20-2022 Wednesday,[[20220420]],https://www.brookspriceaction.com/viewtopic.php?t=5942,7116.0
04-21-2022 Thursday - No Webinar,[[20220421]],https://www.brookspriceaction.com/viewtopic.php?t=5941,
04-22-2022 Friday,[[20220422]],https://www.brookspriceaction.com/viewtopic.php?t=5940,7117.0
04-25-2022 Monday,[[20220425]],https://www.brookspriceaction.com/viewtopic.php?t=5949,7118.0
04-26-2022 Tuesday - No Webinar,[[20220426]],https://www.brookspriceaction.com/viewtopic.php?t=5948,
04-27-2022 Wednesday,[[20220427]],https://www.brookspriceaction.com/viewtopic.php?t=5947,7119.0
04-28-2022 Thursday - No Webinar,[[20220428]],https://www.brookspriceaction.com/viewtopic.php?t=5946,
04-29-2022 Friday,[[20220429]],https://www.brookspriceaction.com/viewtopic.php?t=5945,7120.0
05-02-2022 Monday - No Webinar,[[20220502]],https://www.brookspriceaction.com/viewtopic.php?t=5956,
05-03-2022 Tuesday - No Webinar,[[20220503]],https://www.brookspriceaction.com/viewtopic.php?t=5955,
05-04-2022 Wednesday,[[20220504]],https://www.brookspriceaction.com/viewtopic.php?t=5954,7123.0
05-05-2022 Thursday - No Webinar,[[20220505]],https://www.brookspriceaction.com/viewtopic.php?t=5953,
05-06-2022 Friday,[[20220506]],https://www.brookspriceaction.com/viewtopic.php?t=5952,7130.0
05-09-2022 Monday - No Webinar,[[20220509]],https://www.brookspriceaction.com/viewtopic.php?t=5963,
05-10-2022 Tuesday,[[20220510]],https://www.brookspriceaction.com/viewtopic.php?t=5962,7132.0
05-11-2022 Wednesday - No Webinar,[[20220511]],https://www.brookspriceaction.com/viewtopic.php?t=5961,
05-12-2022 Thursday,[[20220512]],https://www.brookspriceaction.com/viewtopic.php?t=5960,7133.0
05-13-2022 Friday - No Webinar,[[20220513]],https://www.brookspriceaction.com/viewtopic.php?t=5959,
05-16-2022 Monday,[[20220516]],https://www.brookspriceaction.com/viewtopic.php?t=5969,7134.0
05-17-2022 Tuesday - No Webinar,[[20220517]],https://www.brookspriceaction.com/viewtopic.php?t=5968,
05-18-2022 Wednesday - No Webinar,[[20220518]],https://www.brookspriceaction.com/viewtopic.php?t=5967,
05-19-2022 Thursday,[[20220519]],https://www.brookspriceaction.com/viewtopic.php?t=5966,7135.0
